id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQdfyQDsqQxXgCCdYt,8,Hartford International School,1,3,3,13+10=?,23,23,24.332782745361328,1,-LaQd0ZX-FR_DekKJ8U4
-LaQdg2TUYnPkAFLyvbA,8,Hartford International School,0,3,2,7+17=?,24,24,15.60955047607422,1,-LaQdJVkNBVmdvH89mkO
-LaQdgjJbHTQyGggaVgJ,8,Hartford International School,0,3,2,8+21=?,29,34,8.428054809570312,1,-LaQd7hPXBxlsRGZ7EI-
-LaQdgmKtvQf0nBZb9S4,8,Hartford International School,0,3,2,2+12=?,14,14,3.5867271423339844,1,-LaQdV8e8AQiNrANsIx2
-LaQdh-zAMg_8n3UtlpA,8,Hartford International School,1,3,1,7+10=?,17,17,37.40499877929688,1,-LaQdDBQ2pWkXJEqEIM5
-LaQdhf9gaZ1qpAIE4kk,8,Hartford International School,0,3,3,40+10=?,50,50,10.698369026184082,1,-LaQd-bEsaUnPGhsoqFp
-LaQdhfan1-YG0ulv8xy,8,Hartford International School,0,3,3,40+10=?,50,50,7.670757293701173,1,-LaQd2RfkDQ1h6jJPxe-
-LaQdhn-X7OjOTY2ulfl,8,Hartford International School,0,3,2,8+21=?,29,29,7.136188507080077,1,-LaQdJVkNBVmdvH89mkO
-LaQdhwmVbBFrQq7L0G9,8,Hartford International School,1,3,1,0+10=?,10,10,3.8266267776489262,1,-LaQdDBQ2pWkXJEqEIM5
-LaQdiAAudgYEnpXLQgx,8,Hartford International School,0,3,2,6+11=?,17,20,5.689208984375,1,-LaQdV8e8AQiNrANsIx2
-LaQdiS0ds_bTT7KllBS,8,Hartford International School,1,3,4,42+35=?,77,77,16.698341369628903,1,-LaQd8BMIhNUK5-ZXJIK
-LaQdiregB5B-gvFOG4E,8,Hartford International School,0,3,2,3+30=?,33,33,4.395431518554688,1,-LaQdJVkNBVmdvH89mkO
-LaQdixbWLuL70gx458-,8,Hartford International School,1,3,2,6+11=?,17,17,16.65928840637207,1,-LaQdEFbYSIRH12gBSQs
-LaQdjBNc1GgA7yw3wo6,8,Hartford International School,0,3,2,3+30=?,33,33,8.535594940185549,1,-LaQd7hPXBxlsRGZ7EI-
-LaQdjJjYgxPmd41lbeY,8,Hartford International School,0,3,3,17+10=?,27,27,15.826215744018555,1,-LaQd9XtrbmSkZKvmIJz
-LaQdjScwqUK4yCOoXNw,8,Hartford International School,1,3,2,7+17=?,24,24,15.828346252441404,1,-LaQd3FFlxB-434Ndy6V
-LaQdkAWpJzWDz1YFQbO,8,Hartford International School,0,3,3,13+10=?,23,23,5.364105224609375,1,-LaQdJVkNBVmdvH89mkO
-LaQdkA_R6uUYNASxrYY,8,Hartford International School,0,3,4,17+25=?,42,50,46.7149658203125,1,-LaQcyIJiX_EPOxfW_Ma
