answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcHIW6AAVKfyLfcUODf;1;8;ColegiolaEnsenanza;1;2;3;22+10?;32;32;16,59965515;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6BqrM6DCP0bN97;1;8;ColegiolaEnsenanza;1;2;3;17+10?;27;27;17,17741013;1;¿-LcHIW5siIZ4oMsSLpSX
-LcHIW6ClvPO49lG2pJ-;1;8;ColegiolaEnsenanza;1;2;3;33+10?;43;43;19,55272484;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6D-_XMIQN3Filt;1;8;ColegiolaEnsenanza;1;2;3;40+10?;50;50;20,97180557;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6E-DGLXxdILlv2;1;8;ColegiolaEnsenanza;1;2;4;17+25?;42;-;9,732145309;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6F39CvcPdkdiZg;1;8;ColegiolaEnsenanza;1;2;4;25+25?;50;-;30,53314781;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6G3KFGw3SUlEX7;1;8;ColegiolaEnsenanza;1;2;4;42+35?;77;-;47,19981003;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6HvnyFkJEsmaf0;1;8;ColegiolaEnsenanza;1;2;4;46+37?;83;-;36,37304688;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW6IG9uOiuJg3MMb;1;8;ColegiolaEnsenanza;1;2;4;61+39?;100;-;59,54261398;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHSChZXPpxX08FeDMt;1;6;ColegiolaEnsenanza;0;1;0;1+3?;4;5;5,538462639;1;¿-LcHSChIHBa4J0RMch4i
¿-LcHSCiah6O_9RHX44lw;1;6;ColegiolaEnsenanza;0;1;0;4+2?;6;6;0,150018215;1;¿-LcHSChIHBa4J0RMch4i
¿-LcHSCidO3ZouxmlgeLZ;1;6;ColegiolaEnsenanza;0;1;0;4+3?;7;8;0,216747761;1;¿-LcHSChIHBa4J0RMch4i
